dev_id,speed,power_std,power_local
w7,0.5,0,0
w7,1,0,0
w7,1.5,0,0
w7,10,2058,1958
w7,10.5,2146,2068
w7,11,2206,2149
w7,11.5,2245,2205
w7,12,2268,2242
w7,12.5,2282,2266
w7,13,2290,2280
w7,13.5,2295,2288
w7,14,2297,2294
w7,14.5,2298,2296
w7,15,2299,2298
w7,15.5,2300,2299
w7,16,2300,2300
w7,16.5,2300,2300
w7,17,2300,2300
w7,17.5,2300,2300
w7,18,2300,2300
w7,18.5,2300,2300
w7,19,2300,2300
w7,19.5,2300,2300
w7,2,0,0
w7,2.5,0,0
w7,20,2300,2300
w7,20.5,2300,2300
w7,21,2300,2300
w7,21.5,2300,2300
w7,22,2300,2300
w7,22.5,2300,2300
w7,23,2300,2300
w7,23.5,2300,2300
w7,24,2300,2300
w7,24.5,2300,2300
w7,25,2300,2300
w7,3,32,28
w7,3.5,80,71
w7,4,138,123
w7,4.5,211,189
w7,5,302,271
w7,5.5,414,370
w7,6,548,489
w7,6.5,704,630
w7,7,886,792
w7,7.5,1097,978
w7,8,1335,1193
w7,8.5,1584,1433
w7,9,1775,1642
w7,9.5,1934,1816
w4,0.5,0,0
w4,1,0,0
w4,1.5,0,0
w4,10,2058,1958
w4,10.5,2146,2068
w4,11,2206,2149
w4,11.5,2245,2205
w4,12,2268,2242
w4,12.5,2282,2266
w4,13,2290,2280
w4,13.5,2295,2288
w4,14,2297,2294
w4,14.5,2298,2296
w4,15,2299,2298
w4,15.5,2300,2299
w4,16,2300,2300
w4,16.5,2300,2300
w4,17,2300,2300
w4,17.5,2300,2300
w4,18,2300,2300
w4,18.5,2300,2300
w4,19,2300,2300
w4,19.5,2300,2300
w4,2,0,0
w4,2.5,0,0
w4,20,2300,2300
w4,20.5,2300,2300
w4,21,2300,2300
w4,21.5,2300,2300
w4,22,2300,2300
w4,22.5,2300,2300
w4,23,2300,2300
w4,23.5,2300,2300
w4,24,2300,2300
w4,24.5,2300,2300
w4,25,2300,2300
w4,3,32,28
w4,3.5,80,71
w4,4,138,123
w4,4.5,211,189
w4,5,302,271
w4,5.5,414,370
w4,6,548,489
w4,6.5,704,630
w4,7,886,792
w4,7.5,1097,978
w4,8,1335,1193
w4,8.5,1584,1433
w4,9,1775,1642
w4,9.5,1934,1816
